problem_id,task_type,section_no,problem_no,sub_no,missing_or_issue,recommended_pdf,pdf_page,crop_output_path,teacher_note
6c1a58d5-3ed6-4a03-8288-19ec62126e25,疑似乱码,1.1,15,,corrupt_ocr_or_ascii_salad,李继成高数-答案-上册(1).pdf,,book/1.1/manual_15_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
35fa94c8-803f-4b76-b3a9-70dedfcc0386,缺源图,1.2,8,,std_answer,李继成高数-答案-上册(1).pdf,,book/1.2/manual_8_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
21b54542-a4f5-4930-843d-42b35f308083,缺源图,1.3,6,1,content_text,李继成高数-教材-上册(1).pdf,,book/1.3/manual_6_1.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
c3b234f0-6dde-4974-ae7e-f259889c8003,缺源图,1.3,6,4,content_text,李继成高数-教材-上册(1).pdf,,book/1.3/manual_6_4.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
61368021-67fc-4a03-8fb4-7ad5fdf5f414,缺源图,1.3,6,7,content_text,李继成高数-教材-上册(1).pdf,,book/1.3/manual_6_7.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
fd22661a-bf17-4e12-8bc0-4fa9e68f0758,疑似乱码,1.3,7,,corrupt_ocr_or_ascii_salad,李继成高数-答案-上册(1).pdf,,book/1.3/manual_7_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
8a1afafd-a9c9-4548-8fcd-93ca6aea80c5,疑似乱码,1.4,4,,corrupt_ocr_or_ascii_salad,李继成高数-答案-上册(1).pdf,,book/1.4/manual_4_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
b2662385-cbdb-43d2-927d-533a64f8c8d5,缺源图,1.4,5,,std_answer,李继成高数-答案-上册(1).pdf,,book/1.4/manual_5_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
8a92f387-6702-4498-901a-d33224653f02,疑似乱码,1.5,3,,corrupt_ocr_or_ascii_salad,李继成高数-答案-上册(1).pdf,,book/1.5/manual_3_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
38e8310a-f224-484c-97e8-d8be4d9c1e8b,疑似乱码,1.5,9,,corrupt_ocr_or_ascii_salad,李继成高数-答案-上册(1).pdf,,book/1.5/manual_9_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
de1c862d-e2f7-4f2d-b661-28de395efaf3,缺源图,1.6,11,,std_answer,李继成高数-答案-上册(1).pdf,,book/1.6/manual_11_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
ba4f1460-ce3d-4cc0-b0a4-e2c2c2475797,缺源图,1.6,5,,std_answer,李继成高数-答案-上册(1).pdf,,book/1.6/manual_5_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
08d0026f-b666-4c22-bc53-819fdfcdeb9b,疑似乱码,2.10,1,,corrupt_ocr_or_ascii_salad,李继成高数-答案-上册(1).pdf,,book/2.10/manual_1_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
68564af0-6953-4421-8adb-7f498c8f17dd,疑似乱码,2.10,12,,corrupt_ocr_or_ascii_salad,李继成高数-答案-上册(1).pdf,,book/2.10/manual_12_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
e0ee991f-c7f9-49b3-9191-efe3962837c4,疑似乱码,2.10,6,,corrupt_ocr_or_ascii_salad,李继成高数-答案-上册(1).pdf,,book/2.10/manual_6_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
0878d4c0-162d-4190-9062-c8c18b40b192,缺源图,2.2,5,,std_answer,李继成高数-答案-上册(1).pdf,,book/2.2/manual_5_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
bb5a7632-d7c1-4ce6-baf5-9098e1e6363d,疑似乱码,2.4,6,,corrupt_ocr_or_ascii_salad,李继成高数-答案-上册(1).pdf,,book/2.4/manual_6_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
57fe729e-bb72-4bd9-8b13-7294d0892ac9,疑似乱码,2.5,10,,corrupt_ocr_or_ascii_salad,李继成高数-答案-上册(1).pdf,,book/2.5/manual_10_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
c2aa63a7-afc2-4040-b9c3-a75cb6e1c6e3,疑似乱码,2.5,9,,corrupt_ocr_or_ascii_salad,李继成高数-答案-上册(1).pdf,,book/2.5/manual_9_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
2e3f57d0-d7b7-4b94-b95d-812e7eb3f769,疑似乱码,2.8,2,,corrupt_ocr_or_ascii_salad,李继成高数-答案-上册(1).pdf,,book/2.8/manual_2_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
35ca265e-21a0-4fe0-9428-863ee0880f36,缺源图,2.8,3,,corrupt_ocr_or_ascii_salad,李继成高数-教材-上册(1).pdf,,book/2.8/manual_3_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
35ca265e-21a0-4fe0-9428-863ee0880f36,疑似乱码,2.8,3,,corrupt_ocr_or_ascii_salad,李继成高数-答案-上册(1).pdf,,book/2.8/manual_3_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
ec7f56cb-abcf-4205-b109-f1b0d05b5d41,疑似乱码,2.9,8,,corrupt_ocr_or_ascii_salad,李继成高数-答案-上册(1).pdf,,book/2.9/manual_8_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
55361019-6b19-48ca-a48d-9531e00a1ea1,缺源图,3.2,3,,std_answer,李继成高数-答案-上册(1).pdf,,book/3.2/manual_3_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
a09667b1-5603-44c8-bdfa-87f81a6c216d,疑似乱码,3.3,1,,corrupt_ocr_or_ascii_salad,李继成高数-答案-上册(1).pdf,,book/3.3/manual_1_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
2d6af255-9f07-4a70-9751-9dfd2aa74ea5,缺源图,3.3,2,,std_answer,李继成高数-答案-上册(1).pdf,,book/3.3/manual_2_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
6ed7750b-2092-4fe7-9dab-1ef2c7ee090d,疑似乱码,3.3,3,,corrupt_ocr_or_ascii_salad,李继成高数-答案-上册(1).pdf,,book/3.3/manual_3_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
6339e1ae-0d49-4621-9cd7-6ce17a10dc34,缺源图,3.4,1,,std_answer,李继成高数-答案-上册(1).pdf,,book/3.4/manual_1_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
a5108521-6f90-46b1-bba5-3e50fb97398e,缺源图,3.4,2,,std_answer,李继成高数-答案-上册(1).pdf,,book/3.4/manual_2_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
992054b6-bae8-4cea-9aed-c48e2ddbe872,疑似乱码,3.4,7,,corrupt_ocr_or_ascii_salad,李继成高数-答案-上册(1).pdf,,book/3.4/manual_7_main.png,定位页码后裁单题图；绑定 crop_image_path；重生成 readiness 清单
