question_id,type,review_status,assignments_using,artifacts,content_preview
7,calc,blocked,1,咱,"11. 求下列函数的反函数表达式及反函数的定义域:
mh
/
”
x
:::二0,
9“
咱
t
(1) y = -v12x丁瓦
[O, 1];
i
zε
t
J
uu
飞
z
p
’
AU
,
>
E
Z
t
‘
,
J
一
、
t
、
咀
t
一
、
H
飞
,
,
U
/
(1)因为y2 = 2x-x2 = 1 "
11,calc,blocked,0,歧:数ν,"15. 双曲正弦函数y = sinhx 在(一oo, +oo)上的反函数称为反双曲正弦函数7 记作
y = arsinhx;双曲余弦函数y = coshx 在[O, +oo)上的反函数称为反双曲余弦函数?记
作y = arcoshx. 试写出反双曲正弦函数ν =arsinhx 和反双曲余弦函数y = arcoshx
的"
106,calc,published,0,歧:成π,"9. 求通过点A(-3,0,0)和B(0,1,0)且与zOx面成π/6角的平面方程。"
112,calc,published,0,叫 歧:此α 羊,"8 若lim (羊-:;-+ ax + b ) = 2, *常数川9值
I
z→∞飞Z 十l
(1 +α)x2 + (α + b)x + b
\
.
(
x2
i 一一一+ax + b } = hm
= 2 所以1+
解因为
lim
x• 00
z→∞飞x + 1
J
x 十1
α =0,否则
lim
(乓二-:;-+"
113,calc,published,0,阳,"2. 计算下列极限:
(1) ~出(1+5x)~;
(2):出(1- x )士;
例J兑(在专)η 同0).
(3) ~出(1+3tanx)2 …;
出(1 +加)主=!出(1 + t)号二!出[(1 + t) tr = e5
(1)令户;,阳z →0 盹有t →0,所以"
116,calc,published,0,歧:爪ε,"3. 利用等价无穷小的性质7 计算下列极限:
(ex - 1) ln(l - 2x).
(1) lim x sin 斗L
(2) li呗
z• oo
1
l - cosx
u
2x“十1'
(arctanxr
(4) lim
ln
(3) li吨,,_
z• u arctanx··
(m爪εN+);
..,
sin(l"
121,calc,published,0,叫,"6. 洒水车上的水箱是一个横放的椭圆柱体?端面椭圆的长轴长为2m,与水平面平
行,短轴长为1.5 m,水箱长4m. 当水箱里注有一半的水时,水箱一个端面所受的水压
力是多少?
解取椭圆中心为原点建立坐标系,如图3.21 则椭圆方程为
(;)
其中u 轴为椭圆长轴,x 轴为短轴.
[x,x+dx]上的压力dp = µg "
122,calc,published,0,叫,"7. 底为8cm,高为6cm 的等腰三角形薄板,铅直地完全成沉没于水中,顶点在上?
底在下且与水面平行?而顶点距离水面3cm,试求薄板每面所受的压力.
解建立坐标系?如图3.22. 点A(3, 0), B(9, 4)所在直线为旦二旦=主二~'即
4-0
9-3
y =争-2.
位于小区间[凯x+dx]上的压力dp = "
124,calc,published,0,歧:段δ,"3. 设有连结点。(0, 0)和A(l, 1)的一段凸的曲线弧6A ,对于6A 上任一点
P(x, y),曲线弧6P 与直线段δP 所围图形的面积为x2 ,求曲线弧6立的方程.
设曲线弧的方程为y =ν (x). 依题意?有"
125,calc,published,0,歧:为γ,"6. 求微分方程y"" - y = 0 的一条积分曲线?使得该曲线在原点处有切线y = 2x,
且原点是该曲线的拐点.
解特征方程为γ2-1=0,解得特征根为r1 = -1 ,巧=1. 所以方程的通解为
Y = C1e-x + C2ex.
根据题意?曲线过原点?且原点处切线斜率为2,故有初值条件
y'lx=O 二2
Yl"
